2024/03/05 00:59:26 loading corpus...
2024/03/05 00:59:26 successfully loaded corpus with 0 records...
2024/03/05 00:59:26 seed directory /home/am6215/syzkaller-alex/workdirs/workdir_143483113691b505887ce6a9a4328ca2f17a4425/seeds exists
2024/03/05 00:59:26 Read seed : reproducer_1
2024/03/05 00:59:26 serving http on http://127.0.0.1:56746
2024/03/05 00:59:26 serving rpc on tcp://[::]:35543
2024/03/05 00:59:26 booting test machines...
2024/03/05 00:59:26 wait for the connection from test machine...
2024/03/05 01:00:19 machine check:
2024/03/05 01:00:19 syscalls                : 3931/4501
2024/03/05 01:00:19 code coverage           : enabled
2024/03/05 01:00:19 comparison tracing      : enabled
2024/03/05 01:00:19 extra coverage          : enabled
2024/03/05 01:00:19 delay kcov mmap         : enabled
2024/03/05 01:00:19 setuid sandbox          : enabled
2024/03/05 01:00:19 namespace sandbox       : enabled
2024/03/05 01:00:19 Android sandbox         : /sys/fs/selinux/policy does not exist
2024/03/05 01:00:19 fault injection         : enabled
2024/03/05 01:00:19 leak checking           : CONFIG_DEBUG_KMEMLEAK is not enabled
2024/03/05 01:00:19 net packet injection    : enabled
2024/03/05 01:00:19 net device setup        : enabled
2024/03/05 01:00:19 concurrency sanitizer   : /sys/kernel/debug/kcsan does not exist
2024/03/05 01:00:19 devlink PCI setup       : PCI device 0000:00:10.0 is not available
2024/03/05 01:00:19 NIC VF setup            : PCI device 0000:00:11.0 is not available
2024/03/05 01:00:19 USB emulation           : enabled
2024/03/05 01:00:19 hci packet injection    : enabled
2024/03/05 01:00:19 wifi device emulation   : enabled
2024/03/05 01:00:19 802.15.4 emulation      : enabled
2024/03/05 01:00:19 swap file               : enabled
2024/03/05 01:00:19 corpus                  : 0 (deleted 0 broken)
2024/03/05 01:00:19 seeds                   : 1/1
2024/03/05 01:00:26 VMs 2, executed 0, cover 0, signal 0/0, crashes 0, repro 0, triageQLen 0
2024/03/05 01:00:36 VMs 2, executed 56, cover 939, signal 1010/6705, crashes 0, repro 0, triageQLen 0
2024/03/05 01:00:46 VMs 3, executed 817, cover 10651, signal 11462/21020, crashes 0, repro 0, triageQLen 0
2024/03/05 01:00:56 VMs 4, executed 1671, cover 13097, signal 14742/22755, crashes 0, repro 0, triageQLen 0
2024/03/05 01:01:06 VMs 4, executed 3557, cover 13817, signal 15781/24521, crashes 0, repro 0, triageQLen 0
2024/03/05 01:01:16 VMs 4, executed 5598, cover 14210, signal 16274/27175, crashes 0, repro 0, triageQLen 0
2024/03/05 01:01:26 VMs 4, executed 7443, cover 16526, signal 19190/28182, crashes 0, repro 0, triageQLen 0
2024/03/05 01:01:36 VMs 4, executed 10214, cover 17568, signal 20591/28863, crashes 0, repro 0, triageQLen 0
2024/03/05 01:01:46 VMs 4, executed 12471, cover 18484, signal 21966/29425, crashes 0, repro 0, triageQLen 0
2024/03/05 01:01:56 VMs 4, executed 14160, cover 18662, signal 22312/29586, crashes 0, repro 0, triageQLen 0
2024/03/05 01:02:06 VMs 4, executed 16337, cover 20804, signal 24895/32400, crashes 0, repro 0, triageQLen 0
2024/03/05 01:02:16 VMs 4, executed 18118, cover 21211, signal 25499/34543, crashes 0, repro 0, triageQLen 0
2024/03/05 01:02:26 VMs 4, executed 19784, cover 22339, signal 26979/41036, crashes 0, repro 0, triageQLen 0
2024/03/05 01:02:36 VMs 4, executed 21950, cover 23114, signal 27729/44734, crashes 0, repro 0, triageQLen 0
2024/03/05 01:02:46 VMs 4, executed 23493, cover 23531, signal 28650/51273, crashes 0, repro 0, triageQLen 0
2024/03/05 01:02:56 VMs 4, executed 24881, cover 24669, signal 30065/53621, crashes 0, repro 0, triageQLen 0
2024/03/05 01:03:06 VMs 4, executed 26704, cover 25536, signal 31378/55140, crashes 0, repro 0, triageQLen 0
2024/03/05 01:03:16 VMs 4, executed 28417, cover 25645, signal 31635/55341, crashes 0, repro 0, triageQLen 0
2024/03/05 01:03:26 VMs 4, executed 29943, cover 25900, signal 31984/55570, crashes 0, repro 0, triageQLen 0
2024/03/05 01:03:36 VMs 4, executed 31902, cover 26408, signal 32657/56122, crashes 0, repro 0, triageQLen 0
2024/03/05 01:03:46 VMs 4, executed 33686, cover 26570, signal 32916/56266, crashes 0, repro 0, triageQLen 0
2024/03/05 01:03:56 VMs 4, executed 35161, cover 26903, signal 33405/56432, crashes 0, repro 0, triageQLen 0
2024/03/05 01:04:06 VMs 4, executed 36846, cover 27385, signal 34067/56883, crashes 0, repro 0, triageQLen 0
2024/03/05 01:04:16 VMs 4, executed 38458, cover 28367, signal 35245/57030, crashes 0, repro 0, triageQLen 0
2024/03/05 01:04:26 VMs 4, executed 40004, cover 29206, signal 36385/57448, crashes 0, repro 0, triageQLen 0
2024/03/05 01:04:36 VMs 4, executed 41956, cover 31432, signal 39510/57774, crashes 0, repro 0, triageQLen 0
2024/03/05 01:04:46 VMs 4, executed 43493, cover 31701, signal 39905/57992, crashes 0, repro 0, triageQLen 0
2024/03/05 01:04:56 VMs 4, executed 45526, cover 32195, signal 40617/58257, crashes 0, repro 0, triageQLen 0
2024/03/05 01:05:06 VMs 4, executed 47832, cover 32504, signal 41169/58477, crashes 0, repro 0, triageQLen 0
2024/03/05 01:05:16 VMs 4, executed 49869, cover 32948, signal 42093/58927, crashes 0, repro 0, triageQLen 0
2024/03/05 01:05:26 VMs 4, executed 51598, cover 33620, signal 43043/59306, crashes 0, repro 0, triageQLen 0
2024/03/05 01:05:36 VMs 4, executed 53698, cover 34044, signal 43805/59479, crashes 0, repro 0, triageQLen 0
2024/03/05 01:05:46 VMs 4, executed 55376, cover 34437, signal 44402/59751, crashes 0, repro 0, triageQLen 0
2024/03/05 01:05:56 VMs 4, executed 56963, cover 34996, signal 45234/59906, crashes 0, repro 0, triageQLen 0
2024/03/05 01:06:06 VMs 4, executed 58755, cover 35216, signal 45657/60179, crashes 0, repro 0, triageQLen 0
2024/03/05 01:06:16 VMs 4, executed 59826, cover 35995, signal 47279/60469, crashes 0, repro 0, triageQLen 0
2024/03/05 01:06:26 VMs 4, executed 60598, cover 36141, signal 47494/61176, crashes 0, repro 0, triageQLen 0
2024/03/05 01:06:36 VMs 4, executed 62001, cover 36269, signal 47663/61641, crashes 0, repro 0, triageQLen 0
2024/03/05 01:06:46 VMs 4, executed 63018, cover 36426, signal 47870/62212, crashes 0, repro 0, triageQLen 0
2024/03/05 01:06:56 VMs 4, executed 63871, cover 36492, signal 48023/63906, crashes 0, repro 0, triageQLen 0
2024/03/05 01:07:06 VMs 4, executed 64892, cover 36585, signal 48182/64561, crashes 0, repro 0, triageQLen 0
2024/03/05 01:07:16 VMs 4, executed 65591, cover 36893, signal 48587/65079, crashes 0, repro 0, triageQLen 0
2024/03/05 01:07:26 VMs 4, executed 66268, cover 36999, signal 48772/65284, crashes 0, repro 0, triageQLen 0
2024/03/05 01:07:36 VMs 4, executed 67068, cover 37107, signal 48945/65573, crashes 0, repro 0, triageQLen 0
