2024/03/05 01:44:52 loading corpus...
2024/03/05 01:44:52 successfully loaded corpus with 0 records...
2024/03/05 01:44:52 seed directory /home/am6215/syzkaller-alex/workdirs/workdir_4bfcd1336007051ef4bc92e84563d157c3a62667/seeds exists
2024/03/05 01:44:52 Read seed : reproducer_1
2024/03/05 01:44:52 serving http on http://127.0.0.1:56748
2024/03/05 01:44:52 serving rpc on tcp://[::]:38537
2024/03/05 01:44:52 booting test machines...
2024/03/05 01:44:52 wait for the connection from test machine...
2024/03/05 01:46:20 machine check:
2024/03/05 01:46:20 syscalls                : 3922/4501
2024/03/05 01:46:20 code coverage           : enabled
2024/03/05 01:46:20 comparison tracing      : enabled
2024/03/05 01:46:20 extra coverage          : enabled
2024/03/05 01:46:20 delay kcov mmap         : mmap returned an invalid pointer
2024/03/05 01:46:20 setuid sandbox          : enabled
2024/03/05 01:46:20 namespace sandbox       : enabled
2024/03/05 01:46:20 Android sandbox         : /sys/fs/selinux/policy does not exist
2024/03/05 01:46:20 fault injection         : enabled
2024/03/05 01:46:20 leak checking           : CONFIG_DEBUG_KMEMLEAK is not enabled
2024/03/05 01:46:20 net packet injection    : enabled
2024/03/05 01:46:20 net device setup        : enabled
2024/03/05 01:46:20 concurrency sanitizer   : /sys/kernel/debug/kcsan does not exist
2024/03/05 01:46:20 devlink PCI setup       : PCI device 0000:00:10.0 is not available
2024/03/05 01:46:20 NIC VF setup            : PCI device 0000:00:11.0 is not available
2024/03/05 01:46:20 USB emulation           : enabled
2024/03/05 01:46:20 hci packet injection    : enabled
2024/03/05 01:46:20 wifi device emulation   : enabled
2024/03/05 01:46:20 802.15.4 emulation      : enabled
2024/03/05 01:46:20 swap file               : enabled
2024/03/05 01:46:20 corpus                  : 0 (deleted 0 broken)
2024/03/05 01:46:20 seeds                   : 1/1
2024/03/05 01:46:22 VMs 1, executed 0, cover 0, signal 0/0, crashes 0, repro 0, triageQLen 0
2024/03/05 01:46:32 VMs 3, executed 0, cover 0, signal 0/0, crashes 0, repro 0, triageQLen 0
2024/03/05 01:46:42 VMs 4, executed 33, cover 0, signal 0/8677, crashes 0, repro 0, triageQLen 0
2024/03/05 01:46:52 VMs 4, executed 815, cover 1177, signal 195/28127, crashes 0, repro 0, triageQLen 0
2024/03/05 01:47:02 VMs 4, executed 1873, cover 6157, signal 6401/31238, crashes 0, repro 0, triageQLen 0
2024/03/05 01:47:12 VMs 4, executed 3014, cover 9441, signal 10784/32194, crashes 0, repro 0, triageQLen 0
2024/03/05 01:47:22 VMs 4, executed 4244, cover 14377, signal 17646/32907, crashes 0, repro 0, triageQLen 0
2024/03/05 01:47:32 VMs 4, executed 5942, cover 15503, signal 18723/33608, crashes 0, repro 0, triageQLen 0
2024/03/05 01:47:42 VMs 4, executed 7402, cover 16181, signal 19751/34028, crashes 0, repro 0, triageQLen 0
2024/03/05 01:47:52 VMs 4, executed 8692, cover 17062, signal 20946/34261, crashes 0, repro 0, triageQLen 0
2024/03/05 01:48:02 VMs 4, executed 10400, cover 17482, signal 21767/34520, crashes 0, repro 0, triageQLen 0
2024/03/05 01:48:12 VMs 4, executed 11899, cover 17686, signal 22073/34686, crashes 0, repro 0, triageQLen 0
2024/03/05 01:48:22 VMs 4, executed 13166, cover 17737, signal 22180/34808, crashes 0, repro 0, triageQLen 0
2024/03/05 01:48:32 VMs 4, executed 14893, cover 17881, signal 22423/35031, crashes 0, repro 0, triageQLen 0
2024/03/05 01:48:42 VMs 4, executed 16374, cover 18091, signal 22758/35189, crashes 0, repro 0, triageQLen 0
2024/03/05 01:48:52 VMs 4, executed 17619, cover 19239, signal 24206/35340, crashes 0, repro 0, triageQLen 0
2024/03/05 01:49:02 VMs 4, executed 19242, cover 20084, signal 25359/36367, crashes 0, repro 0, triageQLen 0
2024/03/05 01:49:12 VMs 4, executed 20625, cover 21002, signal 26737/36916, crashes 0, repro 0, triageQLen 0
2024/03/05 01:49:22 VMs 4, executed 21715, cover 21062, signal 27356/38155, crashes 0, repro 0, triageQLen 0
2024/03/05 01:49:32 VMs 4, executed 23094, cover 21886, signal 28332/40953, crashes 0, repro 0, triageQLen 0
2024/03/05 01:49:42 VMs 4, executed 24084, cover 22291, signal 28832/42370, crashes 0, repro 0, triageQLen 0
2024/03/05 01:49:52 VMs 4, executed 25128, cover 25152, signal 31662/44939, crashes 0, repro 0, triageQLen 0
2024/03/05 01:50:02 VMs 4, executed 26516, cover 25527, signal 32264/46136, crashes 0, repro 0, triageQLen 0
2024/03/05 01:50:12 VMs 4, executed 27611, cover 25645, signal 32465/47067, crashes 0, repro 0, triageQLen 0
2024/03/05 01:50:22 VMs 4, executed 28815, cover 27016, signal 34114/49785, crashes 0, repro 0, triageQLen 0
2024/03/05 01:50:32 VMs 4, executed 30356, cover 27461, signal 34717/50212, crashes 0, repro 0, triageQLen 0
2024/03/05 01:50:42 VMs 4, executed 31749, cover 27900, signal 35387/50642, crashes 0, repro 0, triageQLen 0
2024/03/05 01:50:52 VMs 4, executed 33062, cover 28433, signal 36192/50770, crashes 0, repro 0, triageQLen 0
2024/03/05 01:51:02 VMs 4, executed 34492, cover 28846, signal 36783/51128, crashes 0, repro 0, triageQLen 0
2024/03/05 01:51:12 VMs 4, executed 35627, cover 28956, signal 37028/51315, crashes 0, repro 0, triageQLen 0
2024/03/05 01:51:22 VMs 4, executed 36856, cover 29441, signal 37734/51502, crashes 0, repro 0, triageQLen 0
2024/03/05 01:51:32 VMs 4, executed 38336, cover 29770, signal 38360/51730, crashes 0, repro 0, triageQLen 0
2024/03/05 01:51:42 VMs 4, executed 39445, cover 30026, signal 38764/51994, crashes 0, repro 0, triageQLen 0
2024/03/05 01:51:52 VMs 4, executed 40562, cover 30257, signal 39124/52552, crashes 0, repro 0, triageQLen 0
2024/03/05 01:52:02 VMs 4, executed 41759, cover 30663, signal 39625/52861, crashes 0, repro 0, triageQLen 0
2024/03/05 01:52:12 VMs 4, executed 42803, cover 30841, signal 39906/53821, crashes 0, repro 0, triageQLen 0
2024/03/05 01:52:22 VMs 4, executed 43480, cover 31559, signal 40785/54632, crashes 0, repro 0, triageQLen 0
2024/03/05 01:52:32 VMs 4, executed 44265, cover 31901, signal 41406/54911, crashes 0, repro 0, triageQLen 0
2024/03/05 01:52:42 VMs 4, executed 45010, cover 31980, signal 41521/55326, crashes 0, repro 0, triageQLen 0
2024/03/05 01:52:52 VMs 4, executed 45591, cover 32115, signal 41723/55609, crashes 0, repro 0, triageQLen 0
2024/03/05 01:53:02 VMs 4, executed 46262, cover 32158, signal 41796/55670, crashes 0, repro 0, triageQLen 0
2024/03/05 01:53:12 VMs 4, executed 46858, cover 32370, signal 42108/56003, crashes 0, repro 0, triageQLen 0
2024/03/05 01:53:16 vm-1: crash: lost connection to test machine [suppressed]
2024/03/05 01:53:22 VMs 3, executed 47375, cover 32524, signal 42325/56215, crashes 1, repro 0, triageQLen 0
2024/03/05 01:53:32 VMs 3, executed 48142, cover 32967, signal 42834/56619, crashes 1, repro 0, triageQLen 0
2024/03/05 01:53:42 VMs 3, executed 48977, cover 33051, signal 43063/56858, crashes 1, repro 0, triageQLen 0
2024/03/05 01:53:52 VMs 3, executed 49572, cover 33519, signal 43697/57613, crashes 1, repro 0, triageQLen 0
2024/03/05 01:54:02 VMs 3, executed 50251, cover 33676, signal 43905/57863, crashes 1, repro 0, triageQLen 0
2024/03/05 01:54:12 VMs 3, executed 50858, cover 34272, signal 44732/58308, crashes 1, repro 0, triageQLen 0
2024/03/05 01:54:22 VMs 3, executed 51459, cover 34463, signal 45003/58519, crashes 1, repro 0, triageQLen 0
2024/03/05 01:54:32 VMs 3, executed 52207, cover 34999, signal 45709/58645, crashes 1, repro 0, triageQLen 0
2024/03/05 01:54:42 VMs 3, executed 53007, cover 35348, signal 46201/58956, crashes 1, repro 0, triageQLen 0
2024/03/05 01:54:52 VMs 3, executed 53865, cover 35416, signal 46340/59174, crashes 1, repro 0, triageQLen 0
2024/03/05 01:55:02 VMs 3, executed 54664, cover 35686, signal 46748/59915, crashes 1, repro 0, triageQLen 0
2024/03/05 01:55:12 VMs 4, executed 55436, cover 36128, signal 47545/60901, crashes 1, repro 0, triageQLen 0
2024/03/05 01:55:22 VMs 4, executed 56124, cover 36319, signal 47853/61157, crashes 1, repro 0, triageQLen 0
2024/03/05 01:55:32 VMs 4, executed 56931, cover 36501, signal 48147/61370, crashes 1, repro 0, triageQLen 0
2024/03/05 01:55:42 VMs 4, executed 57617, cover 36603, signal 48334/61860, crashes 1, repro 0, triageQLen 0
2024/03/05 01:55:52 VMs 4, executed 58429, cover 37262, signal 49319/62133, crashes 1, repro 0, triageQLen 0
2024/03/05 01:56:02 VMs 4, executed 59515, cover 37414, signal 49587/62509, crashes 1, repro 0, triageQLen 0
2024/03/05 01:56:12 VMs 4, executed 60471, cover 37655, signal 49997/62710, crashes 1, repro 0, triageQLen 0
2024/03/05 01:56:22 VMs 4, executed 61378, cover 37879, signal 50334/62951, crashes 1, repro 0, triageQLen 0
2024/03/05 01:56:32 VMs 4, executed 62604, cover 38112, signal 50704/63066, crashes 1, repro 0, triageQLen 0
2024/03/05 01:56:42 VMs 4, executed 63603, cover 38487, signal 51214/63622, crashes 1, repro 0, triageQLen 0
2024/03/05 01:56:52 VMs 4, executed 64373, cover 38679, signal 51524/63809, crashes 1, repro 0, triageQLen 0
2024/03/05 01:57:02 VMs 4, executed 65409, cover 39355, signal 52368/63973, crashes 1, repro 0, triageQLen 0
2024/03/05 01:57:12 VMs 4, executed 66347, cover 39527, signal 52633/64196, crashes 1, repro 0, triageQLen 0
2024/03/05 01:57:22 VMs 4, executed 67180, cover 40048, signal 53373/65056, crashes 1, repro 0, triageQLen 0
2024/03/05 01:57:32 VMs 4, executed 68210, cover 40611, signal 54210/65379, crashes 1, repro 0, triageQLen 0
2024/03/05 01:57:42 VMs 4, executed 69235, cover 40994, signal 54740/65838, crashes 1, repro 0, triageQLen 0
2024/03/05 01:57:52 VMs 4, executed 70073, cover 41276, signal 55094/66544, crashes 1, repro 0, triageQLen 0
2024/03/05 01:58:02 VMs 4, executed 70919, cover 41434, signal 55308/68850, crashes 1, repro 0, triageQLen 0
2024/03/05 01:58:12 VMs 4, executed 71723, cover 41554, signal 55491/71423, crashes 1, repro 0, triageQLen 0
2024/03/05 01:58:22 VMs 4, executed 72364, cover 41595, signal 55573/72148, crashes 1, repro 0, triageQLen 0
2024/03/05 01:58:32 VMs 4, executed 73228, cover 41686, signal 55705/73102, crashes 1, repro 0, triageQLen 0
2024/03/05 01:58:42 VMs 4, executed 73965, cover 41765, signal 55861/73752, crashes 1, repro 0, triageQLen 0
2024/03/05 01:58:52 VMs 4, executed 74662, cover 41803, signal 55916/74643, crashes 1, repro 0, triageQLen 0
2024/03/05 01:59:02 VMs 4, executed 75500, cover 43728, signal 58547/75319, crashes 1, repro 0, triageQLen 0
2024/03/05 01:59:12 VMs 4, executed 76376, cover 43933, signal 58840/76072, crashes 1, repro 0, triageQLen 0
2024/03/05 01:59:22 VMs 4, executed 77137, cover 44217, signal 59094/77348, crashes 1, repro 0, triageQLen 0
