2024/03/05 01:29:12 loading corpus...
2024/03/05 01:29:12 successfully loaded corpus with 0 records...
2024/03/05 01:29:12 seed directory /home/am6215/syzkaller-alex/workdirs/workdir_7978757ab36487b53cdcabb995f29f3e978a3934/seeds exists
2024/03/05 01:29:12 Read seed : reproducer_1
2024/03/05 01:29:12 serving http on http://127.0.0.1:56747
2024/03/05 01:29:12 serving rpc on tcp://[::]:36229
2024/03/05 01:29:12 booting test machines...
2024/03/05 01:29:12 wait for the connection from test machine...
2024/03/05 01:30:28 machine check:
2024/03/05 01:30:28 syscalls                : 3925/4501
2024/03/05 01:30:28 code coverage           : enabled
2024/03/05 01:30:28 comparison tracing      : enabled
2024/03/05 01:30:28 extra coverage          : enabled
2024/03/05 01:30:28 delay kcov mmap         : mmap returned an invalid pointer
2024/03/05 01:30:28 setuid sandbox          : enabled
2024/03/05 01:30:28 namespace sandbox       : enabled
2024/03/05 01:30:28 Android sandbox         : /sys/fs/selinux/policy does not exist
2024/03/05 01:30:28 fault injection         : enabled
2024/03/05 01:30:28 leak checking           : CONFIG_DEBUG_KMEMLEAK is not enabled
2024/03/05 01:30:28 net packet injection    : enabled
2024/03/05 01:30:28 net device setup        : enabled
2024/03/05 01:30:28 concurrency sanitizer   : /sys/kernel/debug/kcsan does not exist
2024/03/05 01:30:28 devlink PCI setup       : PCI device 0000:00:10.0 is not available
2024/03/05 01:30:28 NIC VF setup            : PCI device 0000:00:11.0 is not available
2024/03/05 01:30:28 USB emulation           : enabled
2024/03/05 01:30:28 hci packet injection    : enabled
2024/03/05 01:30:28 wifi device emulation   : enabled
2024/03/05 01:30:28 802.15.4 emulation      : enabled
2024/03/05 01:30:28 swap file               : enabled
2024/03/05 01:30:28 corpus                  : 0 (deleted 0 broken)
2024/03/05 01:30:28 seeds                   : 1/1
2024/03/05 01:30:32 VMs 1, executed 0, cover 0, signal 0/0, crashes 0, repro 0, triageQLen 0
2024/03/05 01:30:42 VMs 2, executed 0, cover 0, signal 0/0, crashes 0, repro 0, triageQLen 0
2024/03/05 01:30:52 VMs 3, executed 25, cover 4003, signal 4514/5509, crashes 0, repro 0, triageQLen 0
2024/03/05 01:31:02 VMs 4, executed 1126, cover 5231, signal 6247/15429, crashes 0, repro 0, triageQLen 0
2024/03/05 01:31:12 VMs 4, executed 1964, cover 6057, signal 7374/19419, crashes 0, repro 0, triageQLen 0
2024/03/05 01:31:22 VMs 4, executed 3071, cover 6838, signal 8388/20174, crashes 0, repro 0, triageQLen 0
2024/03/05 01:31:32 VMs 4, executed 4604, cover 8437, signal 10435/21986, crashes 0, repro 0, triageQLen 0
2024/03/05 01:31:42 VMs 4, executed 6182, cover 11041, signal 13492/24352, crashes 0, repro 0, triageQLen 0
2024/03/05 01:31:52 VMs 4, executed 7864, cover 11897, signal 14636/24750, crashes 0, repro 0, triageQLen 0
2024/03/05 01:32:02 VMs 4, executed 9096, cover 12417, signal 15391/25199, crashes 0, repro 0, triageQLen 0
2024/03/05 01:32:12 VMs 4, executed 10519, cover 12748, signal 15953/25452, crashes 0, repro 0, triageQLen 0
2024/03/05 01:32:22 VMs 4, executed 11898, cover 13725, signal 17233/25651, crashes 0, repro 0, triageQLen 0
2024/03/05 01:32:32 VMs 4, executed 13300, cover 13943, signal 17569/25883, crashes 0, repro 0, triageQLen 0
2024/03/05 01:32:42 VMs 4, executed 14619, cover 14225, signal 17960/26121, crashes 0, repro 0, triageQLen 0
2024/03/05 01:32:52 VMs 4, executed 16192, cover 14624, signal 18585/26324, crashes 0, repro 0, triageQLen 0
2024/03/05 01:33:02 VMs 4, executed 17167, cover 14829, signal 18889/26502, crashes 0, repro 0, triageQLen 0
2024/03/05 01:33:12 VMs 4, executed 18522, cover 15085, signal 19298/28477, crashes 0, repro 0, triageQLen 0
2024/03/05 01:33:22 VMs 4, executed 20026, cover 15723, signal 20133/31369, crashes 0, repro 0, triageQLen 0
2024/03/05 01:33:32 VMs 4, executed 21340, cover 16054, signal 20540/35316, crashes 0, repro 0, triageQLen 0
2024/03/05 01:33:42 VMs 4, executed 22477, cover 16166, signal 20681/37326, crashes 0, repro 0, triageQLen 0
2024/03/05 01:33:52 VMs 4, executed 23775, cover 17072, signal 21932/39627, crashes 0, repro 0, triageQLen 0
2024/03/05 01:34:02 VMs 4, executed 24823, cover 17687, signal 22753/40973, crashes 0, repro 0, triageQLen 0
2024/03/05 01:34:12 VMs 4, executed 26016, cover 17957, signal 23111/44130, crashes 0, repro 0, triageQLen 0
2024/03/05 01:34:22 VMs 4, executed 27369, cover 18175, signal 23390/44448, crashes 0, repro 0, triageQLen 0
2024/03/05 01:34:32 VMs 4, executed 28763, cover 20746, signal 23968/44657, crashes 0, repro 0, triageQLen 0
2024/03/05 01:34:42 VMs 4, executed 30066, cover 20964, signal 24253/47453, crashes 0, repro 0, triageQLen 0
2024/03/05 01:34:52 VMs 4, executed 31351, cover 21335, signal 24802/49706, crashes 0, repro 0, triageQLen 0
2024/03/05 01:35:02 VMs 4, executed 32531, cover 21859, signal 28298/50243, crashes 0, repro 0, triageQLen 0
2024/03/05 01:35:12 VMs 4, executed 33743, cover 22063, signal 28576/51068, crashes 0, repro 0, triageQLen 0
2024/03/05 01:35:22 VMs 4, executed 35099, cover 22451, signal 29028/53742, crashes 0, repro 0, triageQLen 0
2024/03/05 01:35:32 VMs 4, executed 36540, cover 22587, signal 29256/55073, crashes 0, repro 0, triageQLen 0
2024/03/05 01:35:42 VMs 4, executed 37672, cover 22830, signal 29604/56589, crashes 0, repro 0, triageQLen 0
2024/03/05 01:35:52 VMs 4, executed 39015, cover 24399, signal 31438/57076, crashes 0, repro 0, triageQLen 0
2024/03/05 01:36:02 VMs 4, executed 40263, cover 25081, signal 32356/57280, crashes 0, repro 0, triageQLen 0
2024/03/05 01:36:12 VMs 4, executed 41359, cover 25351, signal 32824/57495, crashes 0, repro 0, triageQLen 0
2024/03/05 01:36:22 VMs 4, executed 42403, cover 25561, signal 33135/57634, crashes 0, repro 0, triageQLen 0
2024/03/05 01:36:32 VMs 4, executed 43512, cover 25616, signal 33273/57737, crashes 0, repro 0, triageQLen 0
2024/03/05 01:36:42 VMs 4, executed 44580, cover 25753, signal 33521/58064, crashes 0, repro 0, triageQLen 0
2024/03/05 01:36:52 VMs 4, executed 45852, cover 27016, signal 35120/58400, crashes 0, repro 0, triageQLen 0
2024/03/05 01:37:02 VMs 4, executed 47168, cover 27204, signal 35427/58855, crashes 0, repro 0, triageQLen 0
2024/03/05 01:37:12 VMs 4, executed 48235, cover 27327, signal 35611/60656, crashes 0, repro 0, triageQLen 0
2024/03/05 01:37:22 VMs 4, executed 49517, cover 27527, signal 35940/60912, crashes 0, repro 0, triageQLen 0
